Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,symbol,SMA_20,SMA_50,EMA_20,RSI_14,MACD,MACD_signal,MACD_diff,BB_upper,BB_lower,BB_width,ATR_14,daily_return,volatility_20,price_vs_SMA20,future_return,signal_label,predicted_signal,position,strategy_return,buyhold_return,strategy_equity,buyhold_equity
2025-11-24 00:00:00+05:30,1542.8663816107544,1542.8663816107544,1524.7501927010492,1528.831298828125,18433951,0.0,0.0,RELIANCE.NS,1497.7848571777345,1432.4688647460937,1494.2109313822887,68.28723837913857,28.59231897753375,27.362932756000074,1.2293862215336766,1541.1240185315146,1454.4456958239543,86.67832270756026,20.112466026300066,-0.006918402716518335,0.009532916079926531,0.020728238439325076,0.019662754928743365,Sideways,Sideways,0,-0.0,-0.006918402716518335,1.0,0.9930815972834817
2025-11-25 00:00:00+05:30,1528.8313312270848,1552.4222077972818,1518.0809876078647,1532.61376953125,15033482,0.0,0.0,RELIANCE.NS,1500.5520629882812,1435.5824658203126,1497.8683445393326,69.18097885197562,28.163317656523986,27.523009736104857,0.6403079204191293,1545.3414490539637,1455.7626769225988,89.57877213136499,21.12880560937985,0.0024740929270772316,0.008353895229573301,0.02136660721995831,0.004286599976487837,Sideways,Sideways,0,0.0,0.0024740929270772316,1.0,0.9955385734393313
2025-11-26 00:00:00+05:30,1535.2018536795324,1564.3669320995493,1533.4100892950657,1562.6748046875,14054299,0.0,0.0,RELIANCE.NS,1504.682958984375,1439.064365234375,1504.0403883629676,75.17012529451533,29.904287315985812,27.999265252081052,1.9050220639047595,1555.9242356896684,1453.4416822790818,102.48255341058666,21.88768824930267,0.019614227507197768,0.009247981386695421,0.03854090681153724,-0.01981012749198685,Sideways,Sideways,0,0.0,0.019614227507197768,1.0,1.0150652935109614
2025-11-27 00:00:00+05:30,1567.7513003642512,1568.2489991897637,1548.8387449947777,1556.2047119140625,9794643,0.0,0.0,RELIANCE.NS,1507.6293395996095,1442.331259765625,1509.0084191773576,71.93010275093522,30.41137252804242,28.48168670727333,1.929685820769091,1563.404537114654,1451.854142084565,111.55039503008902,21.710728673994335,-0.004140396168178739,0.009123102846045877,0.032219704829672194,-0.017781720398646783,Sideways,Sideways,0,-0.0,-0.004140396168178739,1.0,1.0108625210592574
2025-11-28 00:00:00+05:30,1560.7835875199362,1574.0224254817672,1555.806599039324,1560.285888671875,8959508,0.0,0.0,RELIANCE.NS,1511.5611633300782,1445.5603295898438,1513.891987700645,72.7285934747094,30.787657121837583,28.94288079018618,1.8447763316514028,1570.4558730441904,1452.666453615966,117.78941942822439,21.46109280031211,0.002622519213936192,0.00864294610733045,0.03223470311611652,-0.01716111471083004,Sideways,Sideways,0,0.0,0.002622519213936192,1.0,1.0135135274433833
2025-12-01 00:00:00+05:30,1567.7513979315313,1570.2398922139623,1556.403839701944,1558.892333984375,8920233,0.0,0.0,RELIANCE.NS,1515.5278198242188,1448.5923095703124,1518.1777349657623,71.97569191640576,30.620443741656118,29.27839338048017,1.3420503611759464,1575.9337155757762,1455.1219240726614,120.81179150311482,20.91644706543398,-0.0008931406081523763,0.00863099485682348,0.028613472872563907,-0.014749993852994692,Sideways,Sideways,0,-0.0,-0.0008931406081523763,1.0,1.012608317355112
2025-12-02 00:00:00+05:30,1553.9152843475838,1560.2858537619331,1534.9032130787248,1539.1834716796875,11389150,0.0,0.0,RELIANCE.NS,1518.5936462402344,1451.2062255859375,1520.1782813194695,62.17277188630705,28.56826824579366,29.13636835354287,-0.5681001077492098,1577.241107607431,1459.9461848730377,117.29492273439337,21.235460895275008,-0.012642863060538412,0.009257311252241494,0.013558482541020631,-0.010929343989538931,Sideways,Down,0,-0.0,-0.012642863060538412,1.0,0.9998060490648291
2025-12-03 00:00:00+05:30,1538.0884656023031,1545.2554018922647,1525.9446623591427,1531.718017578125,6090883,0.0,0.0,RELIANCE.NS,1521.8635314941407,1453.8221313476563,1521.2773038202938,58.900367447098816,26.039339330724943,28.516962548979286,-2.477623218254344,1575.5729875243535,1468.154075463928,107.41891206042555,21.09798079797836,-0.004850269145247221,0.009113334400599948,0.006475275791850608,-0.0012347150910667626,Sideways,Down,0,-0.0,-0.004850269145247221,1.0,0.9949567206338183
2025-12-04 00:00:00+05:30,1528.9308982335338,1553.3181423785347,1510.6155558800758,1528.53271484375,11867930,0.0,0.0,RELIANCE.NS,1523.829443359375,1456.7087866210939,1521.9682953463373,57.50950075026146,23.507141936054495,27.51499842639433,-4.007856490339837,1575.4525959722455,1472.2062907465047,103.2463052257408,22.641166919441254,-0.002079562098127874,0.008588777847940448,0.00308648156450256,0.006121353741572744,Sideways,Down,0,-0.0,-0.002079562098127874,1.0,0.9928876463483106
2025-12-05 00:00:00+05:30,1523.356635808528,1538.685784402705,1513.6016899280953,1533.5096435546875,10183266,0.0,0.0,RELIANCE.NS,1526.9450378417969,1459.7109033203126,1523.0674713661801,59.13330045505696,21.65235889510768,26.342470520137002,-4.690111625029321,1572.6707907388497,1481.219284944744,91.45150579410574,22.815661744810424,0.003256017134998901,0.007989846495356006,0.004299176165613086,0.010320707380873095,Sideways,Down,0,0.0,0.003256017134998901,1.0,0.9961205055379494
2025-12-08 00:00:00+05:30,1532.1161217020071,1543.861863398969,1527.9354998822807,1535.898681640625,11301491,0.0,0.0,RELIANCE.NS,1529.6176818847657,1462.8961767578126,1524.2894913923178,59.925000172635656,20.143009306975273,25.102578277504655,-4.959568970529382,1570.6331606817002,1488.6022030878312,82.03095759386906,22.32356901423027,0.001557889183141814,0.00788296465431028,0.0041062546741222,0.00855470501622868,Sideways,Down,0,0.0,0.001557889183141814,1.0,0.9976723508986327
2025-12-09 00:00:00+05:30,1533.211064854301,1535.4008911036892,1513.1039592099478,1522.3612060546875,11503971,0.0,0.0,RELIANCE.NS,1531.4093933105469,1466.0217236328126,1524.1058451696863,53.58964324650768,17.651007909907776,23.61226420398528,-5.961256294077504,1567.5839438910505,1495.2348427300433,72.34910116100718,22.357222829690762,-0.008814042063944538,0.008226363242046574,-0.005908405221610482,0.008434725077805405,Sideways,Down,0,-0.0,-0.008814042063944538,1.0,0.9888788248317777
2025-12-10 00:00:00+05:30,1526.9401045329791,1540.3779737710465,1524.3520947592017,1529.8267822265625,7991629,0.0,0.0,RELIANCE.NS,1532.6735534667969,1469.1930615234376,1524.6506963179602,56.331481490829105,16.09297861355276,22.10840708589878,-6.01542847234602,1566.7081276972044,1498.6389792363893,68.06914846081509,22.04719032159564,0.004903945359473916,0.00787400902911356,-0.001857389157524891,0.004879934243729789,Sideways,Down,0,0.0,0.004903945359473916,1.0,0.9937282325558935
2025-12-11 00:00:00+05:30,1529.826707449835,1542.8663926602953,1516.9860531705099,1537.889404296875,4706197,0.0,0.0,RELIANCE.NS,1534.370703125,1472.6212109375,1525.9115256492853,59.13906618426904,15.332076753201818,20.75314101935939,-5.421064266157572,1565.7907962794877,1502.9506099705125,62.84018630897526,22.320986690752054,0.005270284298839245,0.007928074061268123,0.0022932536216368647,-0.0003883035848231131,Sideways,Down,0,0.0,0.005270284298839245,1.0,0.9989654628572461
2025-12-12 00:00:00+05:30,1543.6628294631555,1552.62140892391,1538.9843872841,1549.3365478515625,5106655,0.0,0.0,RELIANCE.NS,1536.2420532226563,1476.4534936523437,1528.1424801447404,62.79632548773064,15.474366499418466,19.697386115371206,-4.22301961595274,1566.5258613380392,1505.9582451072733,60.56761623076591,21.778916543343687,0.007443411420030577,0.008001465837790735,0.008523718382423648,0.005525140903856807,Sideways,Down,0,0.0,0.007443411420030577,1.0,1.0064011737916938
2025-12-15 00:00:00+05:30,1544.060853330096,1551.4268205626304,1539.3825327747268,1549.037841796875,5774543,0.0,0.0,RELIANCE.NS,1538.1283264160156,1480.1862353515626,1530.1325145878009,62.63877407740806,15.385672609619633,18.83504341422089,-3.4493708046012586,1566.6121047246259,1509.6445481074054,56.96755661722045,21.08358591795511,-0.00019279610688960336,0.007999400796365738,0.007092721194648028,0.01233778402325414,Sideways,Sideways,0,-0.0,-0.00019279610688960336,1.0,1.0062071435634177
2025-12-16 00:00:00+05:30,1537.8894294536826,1544.5585453663573,1531.7180123854912,1535.201904296875,11731856,0.0,0.0,RELIANCE.NS,1539.2680603027343,1483.7477685546876,1530.6153136077128,55.67139533765109,14.037126284454189,17.87545998826755,-3.838333703813362,1565.2589711592796,1513.277149446189,51.98182171309054,20.81474616748573,-0.008931955777110256,0.008318708633814708,-0.0026416165648623776,0.01841397210356499,Sideways,Sideways,0,-0.0,-0.008931955777110256,1.0,0.9972197458544968
2025-12-17 00:00:00+05:30,1542.8664391614582,1542.8664391614582,1532.2157323461342,1537.292236328125,7116649,0.0,0.0,RELIANCE.NS,1540.5371948242187,1487.12017578125,1531.2512110096568,56.45936998716087,12.987355778233905,16.89783914626082,-3.9104833680269167,1563.3443812226349,1517.7300084258025,45.61437279683241,20.088743356617027,0.0013616007284771303,0.008315424731536812,-0.002106381142237803,0.008935484009287897,Sideways,Sideways,0,0.0,0.0013616007284771303,1.0,0.9985775609869041
