Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,symbol,SMA_20,SMA_50,EMA_20,RSI_14,MACD,MACD_signal,MACD_diff,BB_upper,BB_lower,BB_width,ATR_14,daily_return,volatility_20,price_vs_SMA20,future_return,signal_label,predicted_signal,position,strategy_return,buyhold_return,strategy_equity,buyhold_equity
2025-11-24 00:00:00+05:30,490.51044698770306,508.5857941003241,486.99443265326596,502.0489501953125,486338,0.0,0.0,HAPPSTMNDS.NS,501.4961242675781,513.9170574951172,500.6009949320885,48.93459661717841,-3.9386460278944355,-4.980856696621233,1.0422106687267974,514.0739225872125,488.9183259479438,25.15559663926865,10.516549075732618,0.020124767805927535,0.009424247339126883,0.0011023533403010097,-0.019037282522670118,Sideways,Sideways,0,0.0,0.020124767805927535,1.0,1.0201247678059275
2025-11-25 00:00:00+05:30,504.6735839127201,504.6735839127201,492.0951413096632,493.0855712890625,154587,0.0,0.0,HAPPSTMNDS.NS,500.7246780395508,512.5652459716797,499.88524029941937,42.312024791939365,-4.10990959569466,-4.806667276435919,0.6967576807412588,513.3783915571956,488.07096452190586,25.307427035289777,10.663827184827213,-0.017853595556295843,0.010088891698078549,-0.015256101976833046,-0.008436305580318826,Sideways,Sideways,0,-0.0,-0.017853595556295843,1.0,1.0019118727845604
2025-11-26 00:00:00+05:30,495.21499120497595,498.5824471000649,491.2532712753361,495.8587646484375,142388,0.0,0.0,HAPPSTMNDS.NS,500.1140563964844,511.2265386962891,499.50176642789734,44.801078875252955,-3.9760304751812328,-4.640539916184982,0.6645094410037489,512.4658248359999,487.7622879569688,24.703536879031105,10.425637801963038,0.005624162459520132,0.010213672543629726,-0.008508642565873699,-0.006990885200297892,Sideways,Sideways,0,0.0,0.005624162459520132,1.0,1.0075467879272229
2025-11-27 00:00:00+05:30,500.1671347562963,500.1671347562963,491.4513631121388,492.4913024902344,203327,0.0,0.0,HAPPSTMNDS.NS,499.0198226928711,509.8441259765625,498.834103195739,42.40827605739063,-4.094457997653535,-4.531323532478693,0.43686553482515755,509.9155831550692,488.124062230673,21.791520924396195,10.303504504976932,-0.006791171999532275,0.009762905940535523,-0.013082687111319049,0.027752648957070525,Up,Sideways,0,-0.0,-0.006791171999532275,1.0,1.0007043643928328
2025-11-28 00:00:00+05:30,495.21500775985197,504.1288778995293,492.2437177132928,494.0760192871094,407923,0.0,0.0,HAPPSTMNDS.NS,498.0442352294922,508.4027764892578,498.3809523472981,43.92607081419212,-4.014166448869446,-4.427892115756843,0.4137256668873972,506.83933281571507,489.2491376432693,17.59019517244576,10.416479910781186,0.003217755905255748,0.009835625171313709,-0.007967597377277766,0.011726953184281852,Sideways,Sideways,0,0.0,0.003217755905255748,1.0,1.003924386770773
2025-12-01 00:00:00+05:30,493.77884936078357,495.4625923996777,491.2532650279663,492.4913024902344,145283,0.0,0.0,HAPPSTMNDS.NS,497.27509155273435,506.93170288085935,497.820033313292,42.71378313561219,-4.031930632919,-4.3486998191892745,0.3167691862702746,505.13822570905904,489.41195739640966,15.726268312649381,9.973111872276204,-0.00320743516182298,0.009600854057058232,-0.00962000539291575,-0.011261897805515009,Sideways,Sideways,0,-0.0,-0.00320743516182298,1.0,1.0007043643928328
2025-12-02 00:00:00+05:30,492.4913046847466,494.7692815352608,486.6972832904095,488.9257507324219,190468,0.0,0.0,HAPPSTMNDS.NS,496.49760284423826,505.38833190917967,496.97295878178056,40.03647166888007,-4.284331992750026,-4.335826253901425,0.0514942611513991,504.43384719123964,488.5613584972369,15.872488694002755,9.837318041745856,-0.007239826855385378,0.009617237461046266,-0.015250531056827343,-0.0020257012010209685,Sideways,Sideways,0,-0.0,-0.007239826855385378,1.0,0.9934594380612003
2025-12-03 00:00:00+05:30,491.05518639190944,498.4834114597108,490.31236388512934,492.39227294921875,346932,0.0,0.0,HAPPSTMNDS.NS,496.0345764160156,503.78918395996095,496.5367029882033,43.72934775407418,-4.156726362870245,-4.300006275695189,0.14327991282494423,503.7922779111428,488.2768749208885,15.515402990254302,9.817342519284647,0.007090079038798658,0.009751713706444308,-0.007342841890405112,-0.014683685049188933,Sideways,Sideways,0,0.0,0.007090079038798658,1.0,1.0005031439988947
2025-12-04 00:00:00+05:30,493.2341412793414,514.9245825160215,490.5599681821952,506.15924072265625,1091850,0.0,0.0,HAPPSTMNDS.NS,496.55950317382815,502.79637268066404,497.45313515338927,55.460739747722144,-2.9111606895806403,-4.022237158472279,1.111076468891639,505.4787828344974,487.6402235131589,17.838559321338494,10.85643336318048,0.027959349749701046,0.011325272040770032,0.01933250192065616,-0.04138539738690128,Down,Sideways,0,0.0,0.027959349749701046,1.0,1.0284765613276354
2025-12-05 00:00:00+05:30,509.13052181622754,510.26954047965927,496.25493200826395,499.8700256347656,284461,0.0,0.0,HAPPSTMNDS.NS,497.05967102050784,501.82061767578125,497.68331519923464,50.30143902937817,-2.4038182951304066,-3.698553385803905,1.2947350906734982,505.53233195453697,488.5870100864787,16.945321868058272,11.08201729948154,-0.012425368504408563,0.011370145504315702,0.0056539582229390714,-0.02813554866343737,Down,Sideways,0,-0.0,-0.012425368504408563,1.0,1.0156973610549926
