Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,symbol,SMA_20,SMA_50,EMA_20,RSI_14,MACD,MACD_signal,MACD_diff,BB_upper,BB_lower,BB_width,ATR_14,daily_return,volatility_20,price_vs_SMA20,future_return,signal_label
2025-08-04 00:00:00+05:30,1383.155066191865,1403.975263237478,1379.7841529413568,1399.4146728515625,6312820,0.0,0.0,RELIANCE.NS,,,,,,,,,,,0.0,,,,-0.017924189670189383,Sideways
2025-08-05 00:00:00+05:30,1398.918980991344,1398.918980991344,1376.2150271869518,1379.7841796875,9315972,0.0,0.0,RELIANCE.NS,,,,,,,,,,,0.0,-0.014027645661354837,,,-0.008119476339073062,Sideways
2025-08-06 00:00:00+05:30,1379.9824375441353,1383.9481891450812,1371.4560958071288,1380.874755859375,5834312,0.0,0.0,RELIANCE.NS,,,,,,,,,,,0.0,0.0007903961995867625,,,-0.007323380238162147,Sideways
2025-08-07 00:00:00+05:30,1375.818511047819,1381.7671392504185,1354.3043541251445,1377.5040283203125,9976705,0.0,0.0,RELIANCE.NS,,,,,,,,,,,0.0,-0.002441008878437123,,,-0.00727882541320124,Sideways
2025-08-08 00:00:00+05:30,1373.1415514013454,1385.2370458989403,1353.312792536344,1356.0888671875,8793606,0.0,0.0,RELIANCE.NS,,,,,,,,,,,0.0,-0.01554635100336188,,,0.014196765168672743,Sideways
2025-08-11 00:00:00+05:30,1358.2700517359046,1376.1159356273254,1349.5453489789295,1374.331298828125,9997486,0.0,0.0,RELIANCE.NS,,,,,,,,,,,0.0,0.01345223906930193,,,0.02854690873278032,Up
2025-08-12 00:00:00+05:30,1370.0682117041065,1389.8969719255274,1363.4255044148417,1368.5810546875,12244664,0.0,0.0,RELIANCE.NS,,,,,,,,,,,0.0,-0.004184030550368867,,,0.027704529026485236,Up
2025-08-13 00:00:00+05:30,1376.115874093997,1379.8833867126677,1365.7057756228248,1370.7620849609375,7457021,0.0,0.0,RELIANCE.NS,,,,,,,,,,,0.0,0.00159364347911084,,,0.03463809755262193,Up
2025-08-14 00:00:00+05:30,1370.961308962897,1374.3455639562076,1363.794372575189,1367.4774169921875,7126128,5.5,0.0,RELIANCE.NS,,,,,,,,,,,0.0,-0.002396234915443829,,,0.025767839409053916,Up
2025-08-18 00:00:00+05:30,1383.602791829514,1388.4802648218374,1370.6626218339861,1375.3409423828125,11785109,0.0,0.0,RELIANCE.NS,,,,,,,,,,,0.0,0.005750387752597064,,,0.022363772903256418,Up
2025-08-19 00:00:00+05:30,1383.6027633741608,1414.460091190419,1382.7068811681168,1413.564208984375,14384719,0.0,0.0,RELIANCE.NS,,,,,,,,,,,0.0,0.0277918481328272,,,-0.024786963085576263,Down
