Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,symbol,SMA_20,SMA_50,EMA_20,RSI_14,MACD,MACD_signal,MACD_diff,BB_upper,BB_lower,BB_width,ATR_14,daily_return,volatility_20,price_vs_SMA20,future_return,signal_label
2025-10-15 00:00:00+05:30,1376.6350089791804,1377.6304066718624,1366.382364141153,1367.97509765625,10882743,0.0,0.0,RELIANCE.NS,1375.1618347167969,1377.5056762695312,1372.272151979911,46.79816118961643,-3.4221758019818935,-3.594536045827266,0.17236024384537263,1404.531402765596,1345.7922666679976,58.739136097598475,16.69519070806327,-0.001162886150263942,0.006216680594091909,-0.005226102760499402,0.053918314199712825,Up
2025-10-16 00:00:00+05:30,1368.7713249510273,1394.0544503152107,1368.671809484766,1391.8646240234375,12315932,0.0,0.0,RELIANCE.NS,1374.390399169922,1377.3546752929688,1374.1381016983423,57.7153204295486,-1.4447681743156409,-3.164582471524941,1.7198142972093002,1401.0268600590432,1347.7539382808006,53.27292177824256,17.36548799027023,0.017463421964418302,0.007331239714218035,0.01271416394066004,0.03811770669667269,Up
2025-10-17 00:00:00+05:30,1394.5522084059296,1416.7496262080865,1392.6609284325848,1410.279541015625,19335561,0.0,0.0,RELIANCE.NS,1374.4799926757812,1377.9645825195312,1377.5801435380836,63.869908283794906,1.5899436378972496,-2.2136772496405035,3.803620887537753,1401.5825802520824,1347.37740509948,54.20517515260235,17.90259614701157,0.013230393728203227,0.007950063967635026,0.026045885375276148,0.04750130052687562,Up
2025-10-20 00:00:00+05:30,1433.3726108781723,1467.0170999313523,1426.7034952504036,1460.04931640625,24721978,0.0,0.0,RELIANCE.NS,1377.4363220214843,1379.5480712890626,1385.434350477909,74.62132116151194,7.91968632947669,-0.18700453381706472,8.106690863293755,1422.42708648709,1332.4455575558786,89.98152893121141,20.676522059062695,0.035290716445324666,0.011067210252561447,0.05997590818828221,0.013703351068045766,Sideways
2025-10-21 00:00:00+05:30,1461.2438272093502,1467.2162134241023,1453.2806455896807,1458.4566650390625,2066169,0.0,0.0,RELIANCE.NS,1381.1491577148438,1381.1671264648437,1392.3888566265903,73.86384648678899,12.66158449638624,2.3827132722235964,10.278871224162643,1438.357008158087,1323.9413072716006,114.41570088648632,20.195025328731187,-0.0010908202546936474,0.010597579695687868,0.05597332257156533,0.026617475514277844,Up
2025-10-23 00:00:00+05:30,1468.2115624957596,1476.0752283864208,1437.9514490416038,1441.7340087890625,18707090,0.0,0.0,RELIANCE.NS,1384.0656677246093,1382.880029296875,1397.0883949277782,66.2585470353504,14.898454248279677,4.885861467434813,10.012592780844864,1447.0879032895916,1321.043432159627,126.04447112996468,21.475650615594457,-0.0114659946029676,0.011043470058724482,0.04166589953730983,0.027685693082154073,Up
2025-10-24 00:00:00+05:30,1443.3266994671071,1453.0816457634617,1434.3681199531734,1444.9193115234375,9700837,0.0,0.0,RELIANCE.NS,1387.4798828125,1384.2917895507812,1401.643720317841,66.95645974141965,16.735302799106194,7.25574973376909,9.479553065337104,1455.7057208368208,1319.254044788179,136.45167604864173,21.278355986644016,0.002209355342217556,0.010919441745139574,0.041398386688320576,0.02397358267819305,Up
2025-10-27 00:00:00+05:30,1456.266786847925,1478.16553552233,1451.289798512833,1477.2696533203125,14113867,0.0,0.0,RELIANCE.NS,1393.0391723632813,1386.4655615234376,1408.8461901276003,73.05273835083064,20.56436750165153,9.91747328734558,10.646894214305952,1470.8339331877619,1315.2444115388007,155.58952164896118,22.133203701804614,0.022389029988648,0.01150235638916933,0.06046526373995268,0.00040432025237913116,Sideways
2025-10-28 00:00:00+05:30,1477.26972256393,1485.1333888036675,1470.79963742504,1480.056884765625,17631577,0.0,0.0,RELIANCE.NS,1398.479022216797,1388.6514575195313,1415.6281610455073,73.50626238728765,23.552338452255526,12.64444632032757,10.907892131927957,1484.229858668931,1312.7281857646628,171.50167290426816,21.576099964434825,0.0018867452120525652,0.011511898572057757,0.05833327583242189,-0.009281111021486321,Sideways
2025-10-29 00:00:00+05:30,1483.1425015536738,1501.3583271895798,1481.2512217130793,1497.277099609375,11884745,0.0,0.0,RELIANCE.NS,1405.018780517578,1391.247451171875,1423.4042504325425,76.17424258356245,26.99863096858644,15.515283249979344,11.483347718607096,1499.5152433134617,1310.5223177216944,188.9929255917673,21.556481568686248,0.01163483310742941,0.011498772031037429,0.06566340633383633,-0.005384856331814625,Sideways
2025-10-30 00:00:00+05:30,1493.0964871305005,1496.1821955688695,1477.1701246011085,1481.6494140625,9318663,0.0,0.0,RELIANCE.NS,1411.2151306152343,1393.3736206054687,1428.951408873491,69.34896760990023,28.144388013612343,18.041104202705945,10.103283810906397,1508.6987906274705,1313.7314706029981,194.96732002447243,21.452945385799126,-0.010437403705000348,0.011735341007369974,0.04991038001169892,-0.007054070994833239,Sideways
2025-10-31 00:00:00+05:30,1483.540795005222,1490.6080945575152,1475.4780977270138,1479.5592041015625,8758053,0.0,0.0,RELIANCE.NS,1417.0730529785155,1394.6935205078125,1433.771198895212,68.46535319236905,28.554586749855844,20.143800712135928,8.410786037719916,1516.1862045295195,1317.9599014275116,198.22630310200793,21.001306203277856,-0.0014107318108448341,0.011807057729276507,0.04409522218470577,0.0019509842334699545,Sideways
2025-11-03 00:00:00+05:30,1479.1610089962214,1488.1195884585134,1472.4918928888083,1477.866943359375,8452085,0.0,0.0,RELIANCE.NS,1423.1101379394531,1396.1209204101563,1437.9707936060847,67.71311113398579,28.415563971184156,21.798153363945573,6.6174106072385825,1521.588880293857,1324.6313955850492,196.9574847088079,20.617476872308373,-0.0011437600722541408,0.0117243670210211,0.03847685710341804,0.005859819937512167,Sideways
2025-11-04 00:00:00+05:30,1477.07065615293,1485.9297198935935,1463.334119430687,1466.3203125,10007806,0.0,0.0,RELIANCE.NS,1427.9925598144532,1397.0824731445311,1440.6707477864575,62.65471105410692,27.0617201418911,22.850866719534682,4.2108534223564185,1524.8606632591925,1331.124456369714,193.73620688947858,20.758771414493957,-0.0078130381840249,0.011983769021001968,0.026840302788781276,0.02606747398622189,Up
