total_return_pct,annualized_return_pct,annualized_volatility_pct,sharpe_ratio,max_drawdown_pct,win_rate_pct,active_trading_days,total_days,symbol,type,cap_category
-12.45,-17.61,30.05,-0.49,-30.68,50.9,169,173,MPHASIS.NS,Buy & Hold,Mid Cap
-15.1,-21.22,16.8,-1.33,-22.33,46.0,50,173,ASTRAL.NS,Strategy,Mid Cap
-0.28,-0.4,31.38,0.14,-24.58,52.7,169,173,ASTRAL.NS,Buy & Hold,Mid Cap
-28.14,-38.21,53.49,-0.59,-48.78,49.0,147,173,TRENT.NS,Strategy,Small Cap
-30.94,-41.68,53.93,-0.69,-49.03,47.3,169,173,TRENT.NS,Buy & Hold,Small Cap
-8.2,-11.71,12.02,-0.98,-8.85,46.7,15,173,POLYCAB.NS,Strategy,Large Cap
21.66,33.05,32.59,1.04,-21.08,54.4,169,173,POLYCAB.NS,Buy & Hold,Large Cap
0.42,0.62,19.73,0.13,-14.31,56.3,71,173,CUMMINSIND.NS,Strategy,Large Cap
28.99,44.89,30.83,1.36,-14.61,56.8,169,173,CUMMINSIND.NS,Buy & Hold,Large Cap
-19.16,-26.64,26.23,-1.05,-25.15,50.0,82,173,SRF.NS,Strategy,Small Cap
-7.26,-10.4,33.19,-0.17,-23.0,50.3,169,173,SRF.NS,Buy & Hold,Small Cap
-7.11,-10.19,12.51,-0.8,-11.98,40.0,10,173,APLAPOLLO.NS,Strategy,Mid Cap
5.31,7.82,28.48,0.41,-22.73,52.7,169,173,APLAPOLLO.NS,Buy & Hold,Mid Cap
5.66,8.35,22.62,0.47,-18.77,51.5,101,173,SUPREMEIND.NS,Strategy,Small Cap
0.42,0.61,26.99,0.16,-21.53,48.5,169,173,SUPREMEIND.NS,Buy & Hold,Small Cap
-4.64,-6.69,29.93,-0.08,-24.15,49.7,145,173,COROMANDEL.NS,Strategy,Mid Cap
-7.91,-11.31,32.09,-0.22,-27.23,47.9,169,173,COROMANDEL.NS,Buy & Hold,Mid Cap
-26.3,-35.88,34.01,-1.14,-33.39,46.8,124,173,GODREJPROP.NS,Strategy,Mid Cap
1.19,1.74,37.83,0.23,-31.19,51.8,168,173,GODREJPROP.NS,Buy & Hold,Mid Cap
-4.14,-5.97,27.39,-0.09,-17.93,46.6,103,173,CAMS.NS,Strategy,Small Cap
1.85,2.71,31.33,0.24,-20.95,47.9,167,173,CAMS.NS,Buy & Hold,Small Cap
0.0,0.0,0.0,,0.0,,0,173,ROUTE.NS,Strategy,Small Cap
-18.37,-25.6,41.45,-0.51,-42.76,41.4,169,173,ROUTE.NS,Buy & Hold,Small Cap
-13.61,-19.19,27.96,-0.63,-27.47,27.8,54,173,HAPPSTMNDS.NS,Strategy,Small Cap
-23.36,-32.12,41.69,-0.73,-34.08,40.2,169,173,HAPPSTMNDS.NS,Buy & Hold,Small Cap
10.37,15.45,37.74,0.56,-24.56,43.0,107,173,TANLA.NS,Strategy,Small Cap
2.69,3.94,50.07,0.32,-33.9,43.8,169,173,TANLA.NS,Buy & Hold,Small Cap
-15.48,-21.73,46.23,-0.31,-34.29,45.5,121,173,LATENTVIEW.NS,Strategy,Small Cap
-34.53,-46.04,50.79,-0.97,-50.29,41.1,168,173,LATENTVIEW.NS,Buy & Hold,Small Cap
-27.52,-37.43,33.25,-1.24,-27.82,43.1,102,173,RATNAMANI.NS,Strategy,Small Cap
0.65,0.95,47.73,0.25,-22.64,47.3,169,173,RATNAMANI.NS,Buy & Hold,Small Cap
-11.2,-15.89,35.12,-0.32,-26.88,44.6,166,173,KFINTECH.NS,Strategy,Small Cap
-10.75,-15.27,35.28,-0.3,-26.88,45.0,169,173,KFINTECH.NS,Buy & Hold,Small Cap
2.26,3.37,3.15,1.07,-0.99,60.0,5,170,JBCHEPHARM.NS,Strategy,Unknown
33.19,52.93,20.6,2.17,-9.17,54.8,166,170,JBCHEPHARM.NS,Buy & Hold,Unknown
-6.34,-9.11,34.76,-0.1,-23.93,46.8,111,173,GRAVITA.NS,Strategy,Small Cap
-5.15,-7.42,38.09,-0.01,-30.94,47.9,169,173,GRAVITA.NS,Buy & Hold,Small Cap
-23.86,-34.22,40.53,-0.83,-35.75,46.4,151,164,SIGNATURE.NS,Strategy,Small Cap
-27.16,-38.54,40.71,-0.99,-37.71,45.7,162,164,SIGNATURE.NS,Buy & Hold,Small Cap
-5.27,-7.62,29.02,-0.13,-28.83,42.5,146,172,GALAXYSURF.NS,Strategy,Small Cap
-6.77,-9.75,30.19,-0.19,-26.86,43.5,170,172,GALAXYSURF.NS,Buy & Hold,Small Cap
5.01,7.38,29.08,0.39,-23.85,39.8,108,173,ETHOSLTD.NS,Strategy,Small Cap
-9.63,-13.71,36.23,-0.23,-36.79,40.6,170,173,ETHOSLTD.NS,Buy & Hold,Small Cap
-7.12,-10.2,32.74,-0.17,-23.67,50.4,133,173,IEX.NS,Strategy,Small Cap
-3.67,-5.29,34.94,0.02,-24.97,48.5,169,173,IEX.NS,Buy & Hold,Small Cap
-7.76,-11.1,27.73,-0.29,-25.31,42.5,127,173,AAVAS.NS,Strategy,Small Cap
-16.69,-23.35,31.24,-0.7,-35.68,42.3,168,173,AAVAS.NS,Buy & Hold,Small Cap
