Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,symbol
2026-02-03 00:00:00+05:30,1467.1166446366906,1482.6448239290096,1423.6176937150067,1430.4859619140625,25456171,0.0,0.0,RELIANCE.NS
2026-02-04 00:00:00+05:30,1437.3543194605445,1457.2622740237098,1433.6713964697635,1450.095458984375,8333387,0.0,0.0,RELIANCE.NS
2026-02-05 00:00:00+05:30,1450.2944646433757,1454.7737543419996,1432.8750047042822,1436.757080078125,11763658,0.0,0.0,RELIANCE.NS
2026-02-06 00:00:00+05:30,1434.865799564727,1446.113842295832,1426.9026178813986,1444.123046875,8277304,0.0,0.0,RELIANCE.NS
2026-02-09 00:00:00+05:30,1451.2898835062008,1459.153549837875,1446.3128948796364,1454.873291015625,5775864,0.0,0.0,RELIANCE.NS
2026-02-10 00:00:00+05:30,1464.2299462371711,1464.2299462371711,1445.5164217743147,1451.7874755859375,10259630,0.0,0.0,RELIANCE.NS
2026-02-11 00:00:00+05:30,1452.882456999606,1463.234617369774,1446.91007080626,1461.9405517578125,7106877,0.0,0.0,RELIANCE.NS
2026-02-12 00:00:00+05:30,1463.2345557130195,1466.2207486838624,1438.8473131178025,1442.231689453125,11135399,0.0,0.0,RELIANCE.NS
2026-02-13 00:00:00+05:30,1438.8473526451965,1444.0233720001163,1409.7817888672503,1413.0665283203125,10755693,0.0,0.0,RELIANCE.NS
2026-02-16 00:00:00+05:30,1413.564201587246,1432.9744560797708,1402.8139796964888,1430.4859619140625,5896514,0.0,0.0,RELIANCE.NS
2026-02-17 00:00:00+05:30,1424.5136248062843,1425.2104761017015,1412.0711535507119,1416.450927734375,10731630,0.0,0.0,RELIANCE.NS
2026-02-18 00:00:00+05:30,1420.4325123887006,1435.4629932986807,1412.6683617554224,1434.666748046875,5521096,0.0,0.0,RELIANCE.NS
2026-02-19 00:00:00+05:30,1436.3588845536149,1436.3588845536149,1393.5567833507007,1403.0130615234375,11884664,0.0,0.0,RELIANCE.NS
2026-02-20 00:00:00+05:30,1403.013091941889,1420.8307355027325,1399.6287153786739,1412.8675537109375,8177670,0.0,0.0,RELIANCE.NS
2026-02-23 00:00:00+05:30,1418.4416634695872,1428.2961245911818,1411.772547760535,1421.4278564453125,7758856,0.0,0.0,RELIANCE.NS
2026-02-24 00:00:00+05:30,1418.7403513100855,1426.7035326906043,1408.4877066792656,1422.2242431640625,12529409,0.0,0.0,RELIANCE.NS
2026-02-25 00:00:00+05:30,1428.395737725409,1433.8704252219175,1387.0867320699354,1392.063720703125,10728792,0.0,0.0,RELIANCE.NS
2026-02-26 00:00:00+05:30,1392.0637118415314,1406.397463315574,1385.4941111892442,1400.3255615234375,16683858,0.0,0.0,RELIANCE.NS
2026-02-27 00:00:00+05:30,1391.5659695052796,1403.9089251530934,1381.711508080472,1387.48486328125,12031440,0.0,0.0,RELIANCE.NS
2026-03-02 00:00:00+05:30,1369.1694587628867,1372.2551671563263,1335.3259388807069,1351.75,23728722,0.0,0.0,RELIANCE.NS
2026-03-04 00:00:00+05:30,1323.8789706886037,1346.5740873609554,1300.9848230751916,1338.8099365234375,32495007,0.0,0.0,RELIANCE.NS
2026-03-05 00:00:00+05:30,1346.8726294272453,1392.5614090361375,1346.8726294272453,1383.005615234375,25957532,0.0,0.0,RELIANCE.NS
2026-03-06 00:00:00+05:30,1390.0728674061675,1417.7449716586152,1383.9014503612218,1398.334716796875,19311971,0.0,0.0,RELIANCE.NS
